min_cells,celltype,metric,control_n,IgAN_n,control_median,IgAN_median,delta_IgAN_minus_control,mann_whitney_exact_p,cliffs_delta_IgAN_vs_control,FDR_within_threshold_celltype
50,Macrophage_monocyte,Complement,1,0,0.4038311839103699,,,,,
50,Macrophage_monocyte,Endothelial_activation,1,0,0.0,,,,,
50,Macrophage_monocyte,Tubular_injury,1,0,0.36697593331336975,,,,,
50,Podocyte,RIPS_UCell,1,0,0.11421764642000198,,,,,
50,Podocyte,Fibrosis,1,0,0.04200097918510437,,,,,
50,Podocyte,Inflammatory_chemotaxis,1,0,0.2284771203994751,,,,,
50,Podocyte,Complement,1,0,0.0,,,,,
50,Podocyte,Endothelial_activation,1,0,0.00594523549079895,,,,,
50,Podocyte,Tubular_injury,1,0,0.21217820048332214,,,,,
50,Proximal_tubular,RIPS_UCell,3,9,0.040446341037750244,0.053726136684417725,0.01327979564666748,0.7272727272727273,0.18518518518518517,1.0
50,Proximal_tubular,Fibrosis,3,9,0.0,0.0,0.0,0.3727272727272727,0.4444444444444444,1.0
50,Proximal_tubular,Inflammatory_chemotaxis,3,9,0.0,0.0,0.0,1.0,-0.037037037037037035,1.0
50,Proximal_tubular,Complement,3,9,0.0,0.0,0.0,1.0,0.0,1.0
50,Proximal_tubular,Endothelial_activation,3,9,0.0,0.0,0.0,1.0,0.0,1.0
50,Proximal_tubular,Tubular_injury,3,9,0.16846370697021484,0.16741889715194702,-0.0010448098182678223,0.8636363636363636,-0.1111111111111111,1.0
