strategy,gene,median_IgAN,median_IgAVN,median_difference_IgAN_minus_IgAVN,raw_p,cliffs_delta_IgAN_vs_IgAVN,FDR_within_strategy,predefined_focus_gene
raw_log2,CD7,3.169925001442312,3.700439718141092,-0.53051471669878,1.0,-0.02857142857142857,1.0,False
raw_log2,IFNAR1,4.523561956057013,6.614709844115208,-2.0911478880581953,0.04797979797979798,-0.7142857142857143,0.1676535469638918,False
raw_log2,ITGB1,8.682994583681683,11.159871336778389,-2.4768767530967057,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,SIGIRR,6.0,8.90388184573618,-2.90388184573618,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,PDGFB,4.392317422778761,6.189824558880018,-1.797507136101257,0.4318181818181819,-0.34285714285714286,0.546969696969697,False
raw_log2,IL28A/B,2.321928094887362,3.169925001442312,-0.84799690655495,0.3434343434343435,-0.4,0.45791245791245794,False
raw_log2,PRKCD,5.584962500721156,9.118941072723507,-3.5339785720023507,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,IL17F,2.0,3.169925001442312,-1.1699250014423122,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,TNFRSF14,7.348728154231077,9.854868383260236,-2.5061402290291586,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,GATA3,2.807354922057604,5.584962500721156,-2.777607578663552,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,TBK1,5.977279923499917,8.39231742277876,-2.415037499278843,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,CX3CR1,3.169925001442312,5.0,-1.8300749985576878,0.4318181818181819,-0.3142857142857143,0.546969696969697,False
raw_log2,GZMB,3.584962500721156,4.247927513443585,-0.6629650127224291,1.0,-0.02857142857142857,1.0,False
raw_log2,TRAF4,6.149747119504682,8.721099188707186,-2.5713520692025034,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,CEBPB,6.807354922057604,8.879583249612784,-2.0722283275551803,0.010101010101010102,-0.8857142857142857,0.14329966329966332,False
raw_log2,APP,10.603626344986193,13.368370042894675,-2.7647436979084823,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,PPBP,3.169925001442312,4.584962500721156,-1.415037499278844,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,ARHGDIB,8.134426320220927,9.451211111832329,-1.3167847916114024,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,PLAUR,3.321928094887362,4.459431618637297,-1.1375035237499351,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,ATG7,6.22881869049588,8.51175265376738,-2.282933963271499,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,IL3,1.0,3.0,-2.0,0.01767676767676768,-0.8571428571428571,0.14329966329966332,False
raw_log2,TNFRSF13B,1.0,2.0,-1.0,0.5303030303030304,-0.2571428571428571,0.6384638463846386,False
raw_log2,CLEC7A,3.321928094887362,5.087462841250339,-1.765534746362977,0.07323232323232323,-0.6857142857142857,0.20424427763877306,False
raw_log2,CSF1,4.643856189774724,6.392317422778761,-1.7484612330040363,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,ICAM4,2.807354922057604,3.584962500721156,-0.7776075786635519,0.638888888888889,-0.2,0.7329140461215933,False
raw_log2,TAP1,4.459431618637297,6.392317422778761,-1.9328858041414634,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,MME,6.965784284662087,11.147840893672337,-4.18205660901025,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,IL1A,2.0,3.4594316186372973,-1.4594316186372973,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,TNFSF10,9.31741261376487,10.932214751968385,-1.6148021382035154,0.20202020202020204,-0.4857142857142857,0.3190345008526827,False
raw_log2,HAVCR2,5.614709844115208,7.285402218862249,-1.6706923747470404,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,TNFAIP3,5.20945336562895,6.94251450533924,-1.7330611397102897,0.148989898989899,-0.5428571428571428,0.27121514546664255,False
raw_log2,CD82,4.754887502163468,6.857980995127572,-2.1030934929641036,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,CUL9,5.78135971352466,8.45532722030456,-2.673967506779901,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,ETS1,7.577428828035749,9.552669097514272,-1.9752402694785234,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,CD5,5.169925001442312,4.459431618637297,0.7104933828050148,0.8762626262626263,0.08571428571428572,0.9169839531285314,False
raw_log2,ABCB1,8.467605550082997,10.97656412341533,-2.5089585733323325,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,LILRA3,1.584962500721156,3.321928094887362,-1.736965594166206,0.030303030303030304,-0.7714285714285715,0.14622414622414623,False
raw_log2,FCER1A,6.022367813028454,5.554588851677638,0.46777896135081676,0.8762626262626263,0.08571428571428572,0.9169839531285314,False
raw_log2,CCR1,4.087462841250339,5.954196310386875,-1.8667334691365358,0.148989898989899,-0.5714285714285714,0.27121514546664255,False
raw_log2,CFI,9.686500527183219,11.571278618514595,-1.884778091331377,0.07323232323232323,-0.6571428571428571,0.20424427763877306,False
raw_log2,SYK,5.247927513443585,7.219168520462161,-1.971241007018576,0.10606060606060606,-0.6,0.23030303030303031,False
raw_log2,TLR3,5.700439718141092,7.467605550082998,-1.767165831941906,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,HLA-DOB,4.807354922057604,5.087462841250339,-0.28010791919273537,0.5303030303030304,-0.2571428571428571,0.6384638463846386,False
raw_log2,NCAM1,4.247927513443585,6.22881869049588,-1.9808911770522952,0.010101010101010102,-0.8857142857142857,0.14329966329966332,False
raw_log2,HAMP,1.584962500721156,2.321928094887362,-0.7369655941662061,0.148989898989899,-0.5714285714285714,0.27121514546664255,False
raw_log2,LILRB5,4.0,4.807354922057604,-0.8073549220576037,0.20202020202020204,-0.4857142857142857,0.3190345008526827,False
raw_log2,CD27,4.643856189774724,3.9068905956085187,0.7369655941662057,0.7550505050505051,0.14285714285714285,0.8256667393358041,False
raw_log2,TNF,3.700439718141092,4.523561956057013,-0.8231222379159209,0.10606060606060606,-0.6285714285714286,0.23030303030303031,False
raw_log2,BCL2L11,4.807354922057604,7.643856189774724,-2.8365012677171206,0.01767676767676768,-0.8285714285714286,0.14329966329966332,False
raw_log2,FYN,6.794415866350106,8.224001674198105,-1.4295858078479986,0.148989898989899,-0.5714285714285714,0.27121514546664255,False
